,v1 (price only),v4 (price+insider),momentum 20d,SPY buy & hold
2023-11-28,101929.3256907775,91541.5064799406,101808.89964144348,97516.4436585
2023-11-29,101889.8229167775,91521.44547594058,103300.32396179556,97447.9336585
2023-11-30,102874.4829167775,92127.9867614406,103631.26780179556,97830.2636585
2023-12-01,103582.2629167775,93218.16053144059,105574.48780179555,98407.0736585
2023-12-04,102874.58503677751,92430.0357539406,106439.06041970762,97892.14365849999
2023-12-05,102210.05249777752,91036.99252672223,105763.8061552076,97872.2536585
2023-12-06,101257.81600427753,90571.05294572224,106428.52843120761,97478.8736585
2023-12-07,101251.52690521299,90874.5133001825,107823.92861720761,98221.4336585
2023-12-08,101757.09158121297,91192.1206941825,107689.2229572076,98641.33365849999
2023-12-11,102444.09617521298,91728.9660321825,107419.8813912076,99023.6636585
2023-12-12,102627.32955671298,91570.95481868251,107863.39207571617,99474.5036585
2023-12-13,103152.56446421296,93215.9535361825,109584.02092971615,100842.4936585
2023-12-14,102962.22385271295,93564.27505618251,111784.13582406266,101165.1536585
2023-12-15,102762.92385271298,93297.68476718251,109962.07567556264,100999.4036585
2023-12-18,103621.00385271297,93565.92476718249,110410.44567556263,101565.1636585
2023-12-19,104355.44901471295,94496.8847671825,113715.06583456264,102179.5436585
2023-12-20,103530.74105571298,93839.94790492186,111324.77848806401,100769.56365849999
2023-12-21,104532.95565271296,94569.32964992186,113726.99298606403,101722.0736585
2023-12-22,104841.31483971296,94927.32548392187,113432.97068806402,101925.39365849999
2023-12-26,105455.44119621294,95207.46157092188,113118.78667556404,102354.1336585
2023-12-27,105880.75712121294,95435.00867642186,113288.43898906402,102539.77365850001
2023-12-28,105767.24654221296,95699.67756842184,113447.978657064,102577.34365849999
2023-12-29,105126.82448971296,95716.57620842186,111956.17942806403,102281.2036585
2024-01-02,104040.08254271295,96072.05411192185,110945.05699126623,101711.02365850001
2024-01-03,103229.20141898126,95993.23194692185,107462.2379039945,100882.27365850001
2024-01-04,103212.22536998126,95991.58194692184,106763.7327789945,100559.61365849999
2024-01-05,103482.30751298126,95721.61194692184,107386.53596749449,100696.6336585
2024-01-08,105447.51542298126,96041.79714892186,108610.74213649449,102128.7136585
2024-01-09,107042.04531789005,95826.36581342186,108723.42874899448,101974.0136585
2024-01-10,107808.44844839005,95767.39524142185,109103.0576489945,102548.61365849999
2024-01-11,107731.76733039005,95017.03790542186,108355.49109599448,102504.4136585
2024-01-12,106893.67941939006,94912.20806892184,106927.08609599451,102575.1336585
2024-01-16,105869.91195611871,93733.73654492185,105484.3009911206,102199.4336585
2024-01-17,104881.35415361871,92448.50768748693,104813.94753508392,101633.6736585
2024-01-18,105039.15957761872,92544.3692439869,104877.99206958394,102535.3536585
2024-01-19,105911.10957761871,93748.0372889869,106122.62864158394,103808.31365849999
2024-01-22,107296.58957761871,94285.64728898692,106355.51021308394,104027.1036585
2024-01-23,106874.75697461871,94043.20728898692,106316.24559108393,104329.8736585
2024-01-24,106005.14550061869,93821.56331098691,106574.78166908394,104442.58365849999
2024-01-25,107827.51373011872,95053.86708048692,107466.21009908392,105010.55365850001
2024-01-26,108088.85430061871,94148.46572898692,107165.40420408393,104877.9536585
2024-01-29,108533.41098111871,94772.62745494,107763.02916408393,105704.4936585
2024-01-30,108647.91514211873,94437.92242193999,107522.77780580393,105622.7236585
2024-01-31,110016.8966746187,93369.16140093998,106733.36368380394,103905.55365850001
