,"3 folds (2022-24, as shipped)","6 folds (2019-24, extended)",SPY over 2022-24,SPY over 2019-24
2023-03-08,90976.40684973255,141266.09672936928,84612.2536585,171681.527125
2023-03-09,89312.22064235632,138491.43873736926,83058.6236585,168518.027125
2023-03-10,87946.28933413772,137241.26673937356,81863.0136585,166083.527125
2023-03-13,87490.53085792743,136528.94944743527,81748.09365849999,165849.527125
2023-03-14,87942.46752717743,137712.73396793526,83093.9836585,168590.027125
2023-03-15,85677.3001207344,134277.83830630092,82576.84365849999,167537.027125
2023-03-16,87092.3470202344,136064.7658188009,84019.9736585,170475.527125
2023-03-17,85904.27767923441,133791.2685049346,83040.9436585,168482.027125
2023-03-20,87127.60767923442,136207.7705309346,83836.5436585,170102.027125
2023-03-21,88397.82767923443,138603.10541893457,84932.7036585,172334.027125
2023-03-22,87014.87498573441,135806.10774343455,83489.5736585,169395.527125
2023-03-23,86919.66228573442,135452.97064593458,83714.9936585,169854.527125
2023-03-24,87275.3693197344,135710.01868743458,84263.0736585,170970.527125
2023-03-27,87704.90208523441,137051.72736343456,84419.9836585,171290.027125
2023-03-28,88097.80449073442,138191.8947787346,84229.9236585,170903.027125
2023-03-29,88650.95731023441,139999.61526173458,85449.84365849999,173387.027125
2023-03-30,89142.83227323441,140892.7410052346,85949.30365850001,174404.027125
2023-03-31,90211.6761752344,143459.48041573458,87155.9636585,176861.027125
2023-04-03,90572.53353223443,144341.98677077197,87487.4636585,177536.027125
2023-04-04,90232.46353223441,143538.14147827192,87003.4736585,176550.527125
2023-04-05,89719.67556599097,142120.51823729172,86775.84365849999,176087.027125
2023-04-06,89490.50016799098,141997.60851179174,87113.9736585,176775.527125
2023-04-10,89872.49844099095,142735.28503329173,87202.3736585,176955.527125
2023-04-11,90124.22000299099,142775.9360022917,87224.4736585,177000.527125
2023-04-12,89942.23589699095,142566.81958469172,86870.8736585,176280.527125
2023-04-13,90399.78694199097,143757.64135269172,88020.0736585,178620.527125
2023-04-14,90003.25190549098,143325.2474721917,87805.7036585,178184.027125
2023-04-17,90591.27582749097,144853.68936419173,88119.52365850001,178823.027125
2023-04-18,90674.52181049099,144899.45358869171,88176.9836585,178940.027125
2023-04-19,90579.934392991,144754.22141719173,88163.7236585,178913.027125
2023-04-20,90638.51000769222,144228.66905458964,87684.1536585,177936.527125
2023-04-21,90816.41316619223,144085.6399817015,87750.4536585,178071.527125
2023-04-24,91247.23770511462,144056.95763020148,87843.27365850001,178260.527125
2023-04-25,89738.72088417907,140665.41095883347,86453.1836585,175430.027125
2023-04-26,89380.78133467908,140155.52301283344,86088.5336585,174687.527125
2023-04-27,90380.69371217908,141847.8452861181,87796.86365849999,178166.027125
2023-04-28,90982.35477467909,142910.6265981181,88541.6336585,179682.527125
2023-05-01,91066.44816067908,143173.3748251181,88453.2336585,179502.527125
2023-05-02,88877.37840715502,141191.49670411812,87463.1536585,177486.527125
2023-05-03,87943.32873880502,139704.9039316181,86864.2436585,176267.027125
2023-05-04,86074.00011247025,137981.32018127185,86252.0736585,175020.527125
2023-05-05,87657.67103947025,140113.65454308537,87843.27365850001,178260.527125
2023-05-08,87694.45385047025,140632.33257182012,87865.3736585,178305.527125
2023-05-09,87387.75086247025,139111.4310023201,87483.0436585,177527.027125
2023-05-10,87108.86323066411,138755.62262400682,87889.6836585,178355.027125
2023-05-11,86388.96998923605,138472.7282140068,87737.1936585,178044.527125
2023-05-12,85738.56915473603,139024.12340100683,87622.27365850001,177810.527125
2023-05-15,86636.97589553604,140288.94079500684,87922.83365849999,178422.527125
2023-05-16,85198.62960896998,139572.8991995068,87337.1836585,177230.027125
2023-05-17,86763.74891246055,141493.09824800683,88393.56365849999,179381.027125
2023-05-18,87388.00830146056,142790.35829300678,89242.2036585,181109.027125
2023-05-19,87544.43813996053,142574.7231165068,89114.02365850001,180848.027125
2023-05-22,87156.36233470016,141943.9594600068,89149.3836585,180920.027125
2023-05-23,85956.39418955213,139711.84231336825,88152.6736585,178890.527125
2023-05-24,85538.78489351038,138552.37997736825,87516.1936585,177594.527125
2023-05-25,85071.1144035104,140090.82383240655,88272.0136585,179133.527125
2023-05-26,85074.11545501038,139919.0548907831,89410.1636585,181451.027125
2023-05-30,84732.67813601039,139722.6885027831,89443.31365849999,181518.527125
2023-05-31,84769.52821690706,139233.70546622723,88950.4836585,180515.027125
2023-06-01,85161.15487890704,140196.18970072723,89792.4936585,182229.527125
2023-06-02,86215.71417990705,142708.88634392613,91085.34365849999,184862.027125
2023-06-05,86324.6061706214,142366.06282042613,90912.9636585,184511.027125
2023-06-06,86756.74306312136,143182.05038492611,91109.6536585,184911.527125
2023-06-07,86863.28373012139,143361.13868017888,90795.83365849999,184272.527125
2023-06-08,87074.29474759338,143831.8035601789,91341.7036585,185384.027125
2023-06-09,87321.39068509336,143875.9184291789,91505.2436585,185717.027125
2023-06-12,87800.17944259336,145214.40157817886,92333.9936585,187404.527125
2023-06-13,88116.39931909335,145604.72928067885,92939.5336585,188637.527125
2023-06-14,88131.24980909337,145994.93723807388,93050.0336585,188862.527125
2023-06-15,88581.14623459337,146833.9964260739,94199.2336585,191202.527125
2023-06-16,88468.0017620934,146461.0086665739,93880.9936585,190554.527125
2023-06-20,88173.75157273315,146324.13040757392,93394.7936585,189564.527125
